dataset_id,version,timestamp,model_name,composite_score,cv_score,test_score,train_score,f1_score,roc_auc,rmse,mae,cv_std,overfit_gap,overfit_penalty,train_set_size,test_set_size,best_params
unknown,v1,2026-03-22T03:42:06.773555+00:00,logistic_regression,0.5693,0.5313,0.5326,0.5951,0.5656,0.7942,,,0.0281,0.0625,0.0,736,184,"{""solver"": ""lbfgs"", ""C"": 10.0}"
unknown,v1,2026-03-22T03:42:06.773555+00:00,decision_tree,0.5588,0.5422,0.5543,0.6223,0.5773,,,,0.0393,0.0679,0.0,736,184,"{""min_samples_split"": 5, ""min_samples_leaf"": 5, ""max_depth"": 5}"
unknown,v1,2026-03-22T03:42:06.773555+00:00,knn,0.5408,0.511,0.5543,0.6576,0.5813,,,,0.0392,0.1033,0.0026,736,184,"{""weights"": ""uniform"", ""n_neighbors"": 11}"
unknown,v1,2026-03-22T03:42:06.773555+00:00,gradient_boosting,0.4426,0.5952,0.5815,0.856,0.6088,,,,0.0449,0.2745,0.1396,736,184,"{""subsample"": 0.8, ""n_estimators"": 50, ""max_depth"": 4, ""learning_rate"": 0.05}"
unknown,v1,2026-03-22T03:42:06.773555+00:00,random_forest,0.4204,0.6088,0.6087,0.9389,0.6214,,,,0.0412,0.3302,0.1842,736,184,"{""n_estimators"": 50, ""min_samples_leaf"": 3, ""max_depth"": null}"
unknown,v1,2026-03-22T03:42:06.773555+00:00,svm,0.3282,0.5436,0.5543,0.9375,0.5568,,,,0.0417,0.3832,0.2266,736,184,"{""kernel"": ""rbf"", ""gamma"": ""scale"", ""C"": 10.0}"
unknown,v2,2026-03-22T04:01:17.013525+00:00,random_forest,0.6415,0.6487,0.6594,0.7681,0.6332,0.7943,,,0.0369,0.1087,0.007,914,229,"{""n_estimators"": 300, ""min_samples_leaf"": 3, ""min_impurity_decrease"": 0.001, ""max_features"": ""log2"", ""max_depth"": null}"
unknown,v2,2026-03-22T04:01:17.013525+00:00,svm,0.6165,0.6006,0.6594,0.605,0.5974,,,,0.0408,-0.0544,0.0,914,229,"{""kernel"": ""rbf"", ""gamma"": ""auto"", ""C"": 100.0}"
unknown,v2,2026-03-22T04:01:17.013525+00:00,logistic_regression,0.5863,0.5886,0.6376,0.6039,0.6165,,,,0.0497,-0.0336,0.0,914,229,"{""penalty"": ""l2"", ""l1_ratio"": 0.75, ""C"": 0.1}"
unknown,v2,2026-03-22T04:01:17.013525+00:00,gradient_boosting,0.5606,0.628,0.6288,0.8446,0.6095,,,,0.0247,0.2158,0.0926,914,229,"{""subsample"": 0.6, ""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_depth"": 5, ""learning_rate"": 0.05}"
unknown,v2,2026-03-22T04:01:17.013525+00:00,decision_tree,0.5446,0.558,0.559,0.6368,0.5365,,,,0.051,0.0778,0.0,914,229,"{""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_depth"": 4, ""ccp_alpha"": 0.001}"
unknown,v2,2026-03-22T04:01:17.013525+00:00,knn,0.4557,0.6083,0.6812,1.0,0.665,,,,0.0389,0.3188,0.175,914,229,"{""weights"": ""distance"", ""n_neighbors"": 11, ""metric"": ""manhattan""}"
unknown,v2,2026-03-22T04:01:17.013525+00:00,xgboost,-999.0,,,,,,,,,,,,,{}
unknown,v3,2026-03-22T05:30:13.691198+00:00,random_forest,0.5544,0.593,0.5463,0.6438,,,3900721.4825,2671376.8764,0.053,0.0976,0.0,2975,744,"{""n_estimators"": 300, ""min_samples_leaf"": 3, ""min_impurity_decrease"": 0.001, ""max_features"": ""log2"", ""max_depth"": null}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,knn,0.5275,0.5467,0.5362,0.6181,,,3943777.3638,2587289.9886,0.0534,0.0819,0.0,2975,744,"{""weights"": ""uniform"", ""n_neighbors"": 11, ""metric"": ""euclidean""}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,xgboost,0.5234,0.6084,0.5942,0.7634,,,3689021.3871,2511356.3384,0.0519,0.1692,0.0554,2975,744,"{""subsample"": 1.0, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""max_depth"": 4, ""learning_rate"": 0.1, ""colsample_bytree"": 0.8}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,gradient_boosting,0.4949,0.6095,0.5672,0.7633,,,3809808.6091,2560127.8633,0.0516,0.1961,0.0769,2975,744,"{""subsample"": 0.8, ""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_depth"": 4, ""learning_rate"": 0.05}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,elastic_net,0.4934,0.4792,0.4868,0.4832,,,4148530.621,2941856.6144,0.0461,-0.0036,0.0,2975,744,"{""l1_ratio"": 0.7, ""alpha"": 0.001}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,lasso,0.4932,0.4791,0.485,0.4839,,,4155783.7585,2947851.2642,0.0459,-0.0012,0.0,2975,744,"{""alpha"": 10.0}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,linear_regression,0.4904,0.4874,0.4838,0.5003,,,4160865.8054,2908904.2825,0.0492,0.0165,0.0,2975,744,{}
unknown,v3,2026-03-22T05:30:13.691198+00:00,ridge,0.487,0.4753,0.4891,0.4775,,,4139448.2117,2932684.5447,0.0487,-0.0116,0.0,2975,744,"{""alpha"": 10.0}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,decision_tree,0.2905,0.4215,0.3414,0.5224,,,4699684.4973,3104741.2365,0.0789,0.181,0.0648,2975,744,"{""min_samples_split"": 2, ""min_samples_leaf"": 10, ""max_depth"": 8, ""ccp_alpha"": 0.005}"
unknown,v3,2026-03-22T05:30:13.691198+00:00,svm,0.0924,-0.068,-0.0979,-0.0663,,,6067885.568,3851251.9976,0.0221,0.0316,0.0,2975,744,{}
unknown,v4,2026-03-22T05:39:45.548976+00:00,knn,0.9221,0.9573,0.9217,1.0,,,6325.8386,5804.0536,0.0165,0.0783,0.0,24,6,"{""weights"": ""distance"", ""n_neighbors"": 3, ""metric"": ""manhattan""}"
unknown,v4,2026-03-22T05:39:45.548976+00:00,random_forest,0.886,0.9528,0.8842,0.9961,,,7690.1363,6966.3372,0.0231,0.1119,0.0095,24,6,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""min_impurity_decrease"": 0.0, ""max_features"": 0.5, ""max_depth"": 8}"
unknown,v4,2026-03-22T05:39:45.548976+00:00,ridge,0.8664,0.9342,0.9057,0.9573,,,6939.8914,5973.8925,0.0362,0.0516,0.0,24,6,"{""alpha"": 1.0}"
unknown,v4,2026-03-22T05:39:45.548976+00:00,elastic_net,0.8658,0.9367,0.906,0.9589,,,6929.733,6027.1215,0.0372,0.0529,0.0,24,6,"{""l1_ratio"": 0.7, ""alpha"": 0.1}"
unknown,v4,2026-03-22T05:39:45.548976+00:00,lasso,0.8655,0.9447,0.8928,0.9665,,,7401.5199,6490.8619,0.0373,0.0737,0.0,24,6,"{""alpha"": 10.0}"
unknown,v4,2026-03-22T05:39:45.548976+00:00,linear_regression,0.8642,0.9449,0.8914,0.9665,,,7449.4361,6515.6819,0.0378,0.0752,0.0,24,6,{}
unknown,v4,2026-03-22T05:39:45.548976+00:00,gradient_boosting,0.7896,0.9366,0.8236,1.0,,,9493.1142,8760.7586,0.0323,0.1764,0.0611,24,6,"{""subsample"": 0.8, ""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_depth"": 4, ""learning_rate"": 0.05}"
unknown,v4,2026-03-22T05:39:45.548976+00:00,xgboost,0.6885,0.9086,0.8055,0.9988,,,9967.1893,8492.7904,0.0664,0.1933,0.0746,24,6,"{""subsample"": 0.6, ""reg_lambda"": 1.0, ""reg_alpha"": 1.0, ""n_estimators"": 100, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 0.8}"
unknown,v4,2026-03-22T05:39:45.548976+00:00,decision_tree,0.4884,0.8796,0.6751,0.9675,,,12882.5118,10024.6889,0.118,0.2924,0.1539,24,6,"{""min_samples_split"": 2, ""min_samples_leaf"": 3, ""max_depth"": null, ""ccp_alpha"": 0.01}"
unknown,v4,2026-03-22T05:39:45.548976+00:00,svm,-0.4494,-0.0003,-0.3875,0.1287,,,26622.1694,19609.5197,0.1863,0.5162,0.333,24,6,"{""kernel"": ""linear"", ""gamma"": ""auto"", ""C"": 100.0}"
unknown,v5,2026-03-22T06:26:50.805184+00:00,xgboost,0.7723,0.7736,0.7532,0.8225,0.7429,0.8198,,,0.0202,0.0692,0.0,614,154,"{""subsample"": 0.8, ""reg_lambda"": 5.0, ""reg_alpha"": 0.5, ""n_estimators"": 300, ""max_depth"": 3, ""learning_rate"": 0.01, ""colsample_bytree"": 0.6}"
unknown,v5,2026-03-22T06:26:50.805184+00:00,svm,0.7709,0.772,0.7338,0.7785,0.7216,,,,0.0176,0.0447,0.0,614,154,"{""kernel"": ""linear"", ""gamma"": ""auto"", ""C"": 0.01}"
unknown,v5,2026-03-22T06:26:50.805184+00:00,knn,0.7707,0.7557,0.7597,0.7932,0.754,,,,0.0175,0.0334,0.0,614,154,"{""weights"": ""uniform"", ""n_neighbors"": 11, ""metric"": ""euclidean""}"
unknown,v5,2026-03-22T06:26:50.805184+00:00,gradient_boosting,0.7561,0.772,0.7403,0.8339,0.7349,,,,0.026,0.0936,0.0,614,154,"{""subsample"": 0.8, ""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_depth"": 3, ""learning_rate"": 0.01}"
unknown,v5,2026-03-22T06:26:50.805184+00:00,logistic_regression,0.7526,0.785,0.7143,0.7883,0.7065,,,,0.0271,0.074,0.0,614,154,"{""penalty"": ""l2"", ""l1_ratio"": 0.75, ""C"": 0.1}"
unknown,v5,2026-03-22T06:26:50.805184+00:00,random_forest,0.7449,0.7769,0.7403,0.8208,0.7314,,,,0.0328,0.0806,0.0,614,154,"{""n_estimators"": 200, ""min_samples_leaf"": 5, ""min_impurity_decrease"": 0.001, ""max_features"": 0.5, ""max_depth"": 4}"
unknown,v5,2026-03-22T06:26:50.805184+00:00,decision_tree,0.7223,0.7345,0.7922,0.8046,0.793,,,,0.0413,0.0124,0.0,614,154,"{""min_samples_split"": 2, ""min_samples_leaf"": 10, ""max_depth"": 8, ""ccp_alpha"": 0.005}"
unknown,v6,2026-03-22T06:26:50.817573+00:00,xgboost,0.7723,0.7736,0.7532,0.8225,0.7429,0.8198,,,0.0202,0.0692,0.0,614,154,"{""subsample"": 0.8, ""reg_lambda"": 5.0, ""reg_alpha"": 0.5, ""n_estimators"": 300, ""max_depth"": 3, ""learning_rate"": 0.01, ""colsample_bytree"": 0.6}"
unknown,v6,2026-03-22T06:26:50.817573+00:00,svm,0.7709,0.772,0.7338,0.7785,0.7216,,,,0.0176,0.0447,0.0,614,154,"{""kernel"": ""linear"", ""gamma"": ""auto"", ""C"": 0.01}"
unknown,v6,2026-03-22T06:26:50.817573+00:00,knn,0.7707,0.7557,0.7597,0.7932,0.754,,,,0.0175,0.0334,0.0,614,154,"{""weights"": ""uniform"", ""n_neighbors"": 11, ""metric"": ""euclidean""}"
unknown,v6,2026-03-22T06:26:50.817573+00:00,gradient_boosting,0.7561,0.772,0.7403,0.8339,0.7349,,,,0.026,0.0936,0.0,614,154,"{""subsample"": 0.8, ""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_depth"": 3, ""learning_rate"": 0.01}"
unknown,v6,2026-03-22T06:26:50.817573+00:00,logistic_regression,0.7526,0.785,0.7143,0.7883,0.7065,,,,0.0271,0.074,0.0,614,154,"{""penalty"": ""l2"", ""l1_ratio"": 0.75, ""C"": 0.1}"
unknown,v6,2026-03-22T06:26:50.817573+00:00,random_forest,0.7449,0.7769,0.7403,0.8208,0.7314,,,,0.0328,0.0806,0.0,614,154,"{""n_estimators"": 200, ""min_samples_leaf"": 5, ""min_impurity_decrease"": 0.001, ""max_features"": 0.5, ""max_depth"": 4}"
unknown,v6,2026-03-22T06:26:50.817573+00:00,decision_tree,0.7223,0.7345,0.7922,0.8046,0.793,,,,0.0413,0.0124,0.0,614,154,"{""min_samples_split"": 2, ""min_samples_leaf"": 10, ""max_depth"": 8, ""ccp_alpha"": 0.005}"
unknown,v7,2026-03-22T06:33:31.209890+00:00,xgboost,0.7723,0.7736,0.7532,0.8225,0.7429,0.8198,,,0.0202,0.0692,0.0,614,154,"{""subsample"": 0.8, ""reg_lambda"": 5.0, ""reg_alpha"": 0.5, ""n_estimators"": 300, ""max_depth"": 3, ""learning_rate"": 0.01, ""colsample_bytree"": 0.6}"
unknown,v7,2026-03-22T06:33:31.209890+00:00,svm,0.7709,0.772,0.7338,0.7785,0.7216,,,,0.0176,0.0447,0.0,614,154,"{""kernel"": ""linear"", ""gamma"": ""auto"", ""C"": 0.01}"
unknown,v7,2026-03-22T06:33:31.209890+00:00,knn,0.7707,0.7557,0.7597,0.7932,0.754,,,,0.0175,0.0334,0.0,614,154,"{""weights"": ""uniform"", ""n_neighbors"": 11, ""metric"": ""euclidean""}"
unknown,v7,2026-03-22T06:33:31.209890+00:00,gradient_boosting,0.7561,0.772,0.7403,0.8339,0.7349,,,,0.026,0.0936,0.0,614,154,"{""subsample"": 0.8, ""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_depth"": 3, ""learning_rate"": 0.01}"
unknown,v7,2026-03-22T06:33:31.209890+00:00,logistic_regression,0.7526,0.785,0.7143,0.7883,0.7065,,,,0.0271,0.074,0.0,614,154,"{""penalty"": ""l2"", ""l1_ratio"": 0.75, ""C"": 0.1}"
unknown,v7,2026-03-22T06:33:31.209890+00:00,random_forest,0.7449,0.7769,0.7403,0.8208,0.7314,,,,0.0328,0.0806,0.0,614,154,"{""n_estimators"": 200, ""min_samples_leaf"": 5, ""min_impurity_decrease"": 0.001, ""max_features"": 0.5, ""max_depth"": 4}"
unknown,v7,2026-03-22T06:33:31.209890+00:00,decision_tree,0.7223,0.7345,0.7922,0.8046,0.793,,,,0.0413,0.0124,0.0,614,154,"{""min_samples_split"": 2, ""min_samples_leaf"": 10, ""max_depth"": 8, ""ccp_alpha"": 0.005}"
c47e483a-9cf8-4c2d-9f2c-a0437d97a805,v1,2026-03-22T12:37:33.504397+00:00,xgboost,0.7723,0.7736,0.7532,0.8225,0.7429,0.8198,,,0.0202,0.0692,0.0,614,154,"{""subsample"": 0.8, ""reg_lambda"": 5.0, ""reg_alpha"": 0.5, ""n_estimators"": 300, ""max_depth"": 3, ""learning_rate"": 0.01, ""colsample_bytree"": 0.6}"
c47e483a-9cf8-4c2d-9f2c-a0437d97a805,v1,2026-03-22T12:37:33.504397+00:00,svm,0.7709,0.772,0.7338,0.7785,0.7216,,,,0.0176,0.0447,0.0,614,154,"{""kernel"": ""linear"", ""gamma"": ""auto"", ""C"": 0.01}"
